"backend_name","op_name","op_params","test_mode","supported","error_message","backend_reg_name"
"Metal","ABS","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","ABS","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","SGN","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","SGN","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","NEG","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","NEG","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","STEP","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","STEP","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","TANH","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","TANH","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","ELU","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","ELU","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","RELU","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","RELU","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","SIGMOID","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","SIGMOID","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","GELU","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","GELU","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","GELU_QUICK","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","GELU_QUICK","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","SILU","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","SILU","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","HARDSWISH","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","HARDSWISH","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","HARDSIGMOID","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","HARDSIGMOID","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","EXP","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","EXP","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","GELU_ERF","type=f16,ne_a=[128,2,2,2],v=0","support","0","no","Metal"
"Metal","GELU_ERF","type=f16,ne_a=[5,7,11,13],v=0","support","0","no","Metal"
"Metal","ABS","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","ABS","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","SGN","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","SGN","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","NEG","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","NEG","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","STEP","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","STEP","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","TANH","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","TANH","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","ELU","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","ELU","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","RELU","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","RELU","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","SIGMOID","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","SIGMOID","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","GELU","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
"Metal","GELU","type=f16,ne_a=[5,7,11,13],v=1","support","0","no","Metal"
"Metal","GELU_QUICK","type=f16,ne_a=[128,2,2,2],v=1","support","0","no","Metal"
